,UniqueID,airline,origin,destination,departure_time,Arrival_time,price,flights,DepartureDate,SearchDate
108,1_2025-12-21_2025-10-03,F9,IAH,LAX,2025-12-21 10:56:00,2025-12-21 12:48:00,163.54,['1755'],2025-12-21,2025-10-03
109,1_2025-12-21_2025-10-04,AS,IAH,LAX,2025-12-21 17:54:00,2025-12-22 08:25:00,211.02,"['1421', '1165']",2025-12-21,2025-10-04
110,1_2025-12-21_2025-10-05,AS,IAH,LAX,2025-12-21 17:54:00,2025-12-22 08:25:00,211.02,"['1421', '1165']",2025-12-21,2025-10-05
111,1_2025-12-22_2025-10-03,F9,IAH,LAX,2025-12-22 10:56:00,2025-12-22 12:48:00,163.54,['1755'],2025-12-22,2025-10-03
112,1_2025-12-22_2025-10-04,UA,IAH,LAX,2025-12-22 21:35:00,2025-12-22 22:59:00,176.46,['434'],2025-12-22,2025-10-04
113,1_2025-12-22_2025-10-05,UA,IAH,ONT,2025-12-22 20:00:00,2025-12-22 21:21:00,173.24,['1563'],2025-12-22,2025-10-05
114,1_2025-12-23_2025-10-03,F9,IAH,LAX,2025-12-23 10:56:00,2025-12-23 12:48:00,163.54,['1755'],2025-12-23,2025-10-03
115,1_2025-12-23_2025-10-04,UA,IAH,LAX,2025-12-23 21:35:00,2025-12-23 22:59:00,176.46,['434'],2025-12-23,2025-10-04
116,1_2025-12-23_2025-10-05,UA,IAH,LAX,2025-12-23 21:35:00,2025-12-23 22:59:00,176.46,['434'],2025-12-23,2025-10-05
117,1_2025-12-24_2025-10-03,AS,IAH,ONT,2025-12-24 07:35:00,2025-12-24 15:12:00,136.34,"['453', '1118']",2025-12-24,2025-10-03
118,1_2025-12-24_2025-10-04,AS,IAH,ONT,2025-12-24 07:35:00,2025-12-24 15:12:00,136.37,"['453', '1118']",2025-12-24,2025-10-04
119,1_2025-12-24_2025-10-05,UA,IAH,LAX,2025-12-24 05:42:00,2025-12-24 07:30:00,107.66,['2431'],2025-12-24,2025-10-05
120,1_2025-12-25_2025-10-03,AS,IAH,ONT,2025-12-25 07:35:00,2025-12-25 15:12:00,147.09,"['453', '1118']",2025-12-25,2025-10-03
121,1_2025-12-25_2025-10-04,AS,IAH,ONT,2025-12-25 07:35:00,2025-12-25 15:12:00,147.12,"['453', '1118']",2025-12-25,2025-10-04
122,1_2025-12-25_2025-10-05,UA,IAH,LAX,2025-12-25 21:35:00,2025-12-25 22:59:00,135.61,['434'],2025-12-25,2025-10-05
123,1_2025-12-26_2025-10-03,F9,IAH,LAX,2025-12-26 10:56:00,2025-12-26 12:48:00,163.54,['1755'],2025-12-26,2025-10-03
124,1_2025-12-26_2025-10-04,UA,IAH,ONT,2025-12-26 20:00:00,2025-12-26 21:21:00,208.71,['1563'],2025-12-26,2025-10-04
125,1_2025-12-26_2025-10-05,UA,IAH,ONT,2025-12-26 20:00:00,2025-12-26 21:21:00,208.71,['1563'],2025-12-26,2025-10-05
126,1_2025-12-27_2025-10-03,AS,IAH,LAX,2025-12-27 17:54:00,2025-12-27 23:59:00,152.46,"['1421', '1291']",2025-12-27,2025-10-03
127,1_2025-12-27_2025-10-04,AS,IAH,LAX,2025-12-27 17:54:00,2025-12-27 23:59:00,153.57,"['1421', '1291']",2025-12-27,2025-10-04
128,1_2025-12-27_2025-10-05,AS,IAH,LAX,2025-12-27 17:54:00,2025-12-27 23:59:00,153.57,"['1421', '1291']",2025-12-27,2025-10-05
